Final Colwellia.genome_id	genome.genome_name	genome.genome_id	genome.genome_status	genome.sequences	genome.patric_cds	genome.isolation_country	genome.host_name	genome.disease	genome.collection_year	genome.completion_date
1816218.28	Colwellia sp. BRX10-6	1816218.28	WGS		3932					
1816218.25	Colwellia sp. BRX8-7	1816218.25	WGS		4127					
1816218.30	Colwellia sp. BRX8-3	1816218.30	WGS		4188					
1888913.3	Colwellia mytili strain KCTC 52417	1888913.3	WGS		4069		Mussel			2017-04-21T00:00:00Z
2689569.3	Colwellia sp. 20A7	2689569.3	Complete		4041				2017	2020-01-07T00:00:00Z
2161872.4	Colwellia sp. Arc7-D	2161872.4	Complete		3842				2016	2018-05-18T00:00:00Z
2058299.3	Colwellia sp. 12G3	2058299.3	WGS		4432				2002	2017-12-12T00:00:00Z
2497879.3	Colwellia sp. Arc7-635	2497879.3	Complete		4264				2016	2018-12-26T00:00:00Z
28228.58	Colwellia MB02u-7	28228.58	WGS		8964					
28228.63	Colwellia MB02u-14	28228.63	WGS		8376					
28228.68	Colwellia MB3u-22	28228.68	WGS		8962					
28228.73	Colwellia MB3u-55	28228.73	WGS		8537					
326537.3	Colwellia polaris strain MCCC1C00015	326537.3	WGS		3908				2003	2017-04-21T00:00:00Z
56799.4	Colwellia sp. strain NORP29	56799.4	WGS		3739	Atlantic Ocean			2014	2017-10-26T00:00:00Z
56799.10	Colwellia sp. strain UBA8680	56799.10	WGS		2370					2018-09-10T00:00:00Z
28229.11	Colwellia psychrerythraea strain Glo_19	28229.11	WGS		7384	Sweden	Globobulimina		2015	2018-08-02T00:00:00Z
56799.9	Colwellia sp. strain UBA10809	56799.9	WGS		5159					2018-09-10T00:00:00Z
167879.5	Colwellia psychrerythraea 34H	167879.5	Complete		4610					2005-07-26T00:00:00Z
1265503.3	Colwellia piezophila ATCC BAA-637	1265503.3	WGS		4730				2001	2013-04-22T00:00:00Z
2304625.3	Colwellia sp. OISW-25	2304625.3	WGS		3442	South Korea			2016	2019-05-29T00:00:00Z
1967665.5	Colwellia sp. BRX10-3	1967665.5	WGS		3464					
56799.6	Colwellia sp. strain bin20	56799.6	WGS		2081	United States			2013	2018-07-17T00:00:00Z
1816218.3	Colwellia sp. PAMC 20917	1816218.3	Complete		4170	Norway			2015	2016-10-18T00:00:00Z
641665.3	Colwellia chukchiensis strain CGMCC 1.9127	641665.3	WGS		3817					2016-10-29T00:00:00Z
1720342.3	Colwellia sp. TT2012	1720342.3	WGS		4307				2012	2015-11-06T00:00:00Z
1816218.22	Colwellia sp. BRX8-4	1816218.22	WGS		4026					
1816218.16	Colwellia sp. BRX10-1	1816218.16	WGS		4194					
1816218.20	Colwellia sp. BRX10-7	1816218.20	WGS		4173					
1816218.29	Colwellia sp. BRX8-2	1816218.29	WGS		4215					
1816218.31	Colwellia sp. BRX8-8	1816218.31	WGS		4567					
1816218.21	Colwellia sp. BRX10-9	1816218.21	WGS		4144					
1917165.4	Colwellia sp. UCD-KL20 strain UCD-KL20	1917165.4	WGS		3976	United States			2015	2017-01-19T00:00:00Z
2305464.3	Colwellia sp. RSH04	2305464.3	WGS		3788	China			2017	2018-09-11T00:00:00Z
1816218.17	Colwellia sp. BRX10-2	1816218.17	WGS		4180					
1816218.26	Colwellia sp. BRX8-9	1816218.26	WGS		4223					
1816218.19	Colwellia sp. BRX10-5	1816218.19	WGS		4164					
1816218.18	Colwellia sp. BRX10-4	1816218.18	WGS		4342					
1816218.27	Colwellia sp. BRX9-1	1816218.27	WGS		4067					
1816218.24	Colwellia sp. BRX8-6	1816218.24	WGS		4148					
1816218.23	Colwellia sp. BRX8-5	1816218.23	WGS		4166					
329993.3	Colwellia aestuarii strain KCTC 12480	329993.3	WGS		3931	South Korea			2016	2017-02-15T00:00:00Z
888425.3	Colwellia sp. 75C3	888425.3	WGS		4670				2002	2017-12-12T00:00:00Z
1820336.3	Colwellia sediminilitoris strain KCTC 52213	1820336.3	WGS		3410					2017-04-21T00:00:00Z
1911682.3	Colwellia sp. QM50 strain QM50	1911682.3	WGS		4097	China			2000	2017-02-15T00:00:00Z
2058305.3	Colwellia sp. Bg11-28	2058305.3	WGS		4811	United States			2014	2017-12-12T00:00:00Z
56799.8	Colwellia sp. strain Glo_8	56799.8	WGS		5046	Sweden	Globobulimina		2015	2018-08-02T00:00:00Z
329993.4	Colwellia aestuarii strain CGMCC1.6965	329993.4	WGS		3928					2017-04-21T00:00:00Z
89402.3	Colwellia hornerae strain IC037	89402.3	WGS		3973	Antarctica			2001	2019-08-10T00:00:00Z
89402.5	Colwellia hornerae strain ACAM 607	89402.5	WGS		3977	Antarctica			1993	2019-08-10T00:00:00Z
1967665.3	Colwellia sp. NB097-1 strain NB097-1	1967665.3	Complete		4038				2014	2017-04-03T00:00:00Z
89402.4	Colwellia hornerae strain IC036	89402.4	WGS		3987	Antarctica			2001	2019-08-10T00:00:00Z
2508879.3	Colwellia sp. C1TZA3	2508879.3	WGS		4138	Antarctica			1993	2019-08-10T00:00:00Z
28229.3	Colwellia psychrerythraea GAB14E	28229.3	WGS		4799	Australia			2012	2014-10-06T00:00:00Z
28228.70	Colwellia MB3u-41	28228.70	WGS		8604					
28228.61	Colwellia MB02u-11	28228.61	WGS		8966					
28228.76	Colwellia Bg11-12	28228.76	WGS		7782					
1982103.3	Colwellia sp. A3T	1982103.3	WGS		3470	Denmark	Strongylocentrotus droebachiensis (sea urchin)		2015	2017-12-15T00:00:00Z
56799.5	Colwellia sp. strain NORP5	56799.5	WGS		7413	Atlantic Ocean			2014	2017-10-26T00:00:00Z
1856279.3	Colwellia sp. 39_35_sub15_T18 strain 39_35_sub15_T18	1856279.3	WGS		3804	United States			2013	2017-05-31T00:00:00Z
28228.74	Colwellia MB3u-64	28228.74	WGS		8967					
28228.69	Colwellia MB3u-28	28228.69	WGS		8611					
89401.3	Colwellia demingiae strain ACAM 459	89401.3	WGS		4685	Antarctica			1993	2019-08-10T00:00:00Z
1513592.3	Colwellia marinimaniae strain MTCD1	1513592.3	WGS		4312	United States			2012	2017-06-07T00:00:00Z
2267621.3	Colwellia sp. Bin11-node4	2267621.3	WGS		3460	Brazil			2016	2018-07-21T00:00:00Z
1795872.3	Colwellia sp. Phe_37	1795872.3	WGS		3091	United States			2010	2016-02-23T00:00:00Z
58049.4	Colwellia sp. MT41	58049.4	Complete		3951		Hirondellea gigas		1978	2015-11-17T00:00:00Z
1718921.3	Colwellia sp. MT2012	1718921.3	WGS		4046		Hirondellea gigas		2012	2015-11-05T00:00:00Z
28229.4	Colwellia psychrerythraea ND2E	28229.4	WGS		4510	Greece			2012	2014-10-06T00:00:00Z
28229.6	Colwellia psychrerythraea strain 38_32_sub10_T18	28229.6	WGS		4110	United States			2013	2017-05-31T00:00:00Z
28228.36	Colwellia MB02u-1	28228.36	WGS		3707					
28228.37	Colwellia MB02u-6	28228.37	WGS		3628					
28228.39	Colwellia MB02u-9	28228.39	WGS		3785					
28228.41	Colwellia MB02u-12	28228.41	WGS		3697					
28228.43	Colwellia MB02u-18	28228.43	WGS		3700					
28228.44	Colwellia MB02u-19	28228.44	WGS		3698					
28228.45	Colwellia MB3u-4	28228.45	WGS		3745					
28228.46	Colwellia MB3u-8	28228.46	WGS		4139					
28228.50	Colwellia MB3u-43	28228.50	WGS		3706					
28228.51	Colwellia MB3u-45	28228.51	WGS		3698					
28228.54	Colwellia MB3u-70	28228.54	WGS		4139					
28228.79	Colwellia sp. UT-16	28228.79	WGS		5654					
28228.81	Colwellia sp. UT-19	28228.81	WGS		5650					
28228.82	Colwellia sp. UT-20	28228.82	WGS		5551					
28228.80	Colwellia sp. UT-18	28228.80	WGS		5649					
28228.60	Colwellia MB02u-10	28228.60	WGS		8238					
